q_scary,q_dream,q_desktop,q_better,q_remind,q_quote,q_sell,q_temperature,q_story,user_id,label
4,1 - Not Likely,1 - Not Likely,"People,Cars",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",-10.0,25,"He shoots, he misses, he scores!",411317,1
6,1 - Not Likely,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",10.0,40,The ultimate  from outer space. The number 3 player is going to make a shot but lost his balance.,182381,1
2,2,2,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",1.0,40,"The game is tied at 2 all. Possession is his, and there are seconds left on the clock. It's all up to him now. He passes the final defender, it's never looked so easy; he's truly on fire. To him, it even feels as though the universe is one big ball of flame. All that's left is to take the shot. He winds up, and...

Trips over. The perfect opportunity slips right out of reality. Better luck next time... ",318416,1
3,1 - Not Likely,1 - Not Likely,Cats,Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",0.0,"1,100",A human Frankenstein with three legs,416066,1
5,3,1 - Not Likely,"People,Fireworks","Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",15.0,25,"In the future, a part of people will grow a third leg. Such people would have an advantage in , so clubs'  teams gradually became all three-legged men.",312349,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",2.0,23.8889,He ran up past the team. He went for the ball. He didn't know whether he could do it. But in this moment he knew he had to or it would never happen. He took his shot.,13038,1
7,1 - Not Likely,1 - Not Likely,"Cats,Fireworks,Explosions","Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,45,"A game of  is played in the Sahara Desert. The sun is setting, leaving a red shine across the sky. The temperature is scorching high. During this game of , one falls, knocking down the other. Facing their demise, one looks at the ground, one's view is blocked. It is not longer a game, it is a battle.",289884,1
4,1 - Not Likely,1 - Not Likely,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",1.0,40,A 3 leg  plays  in very hot weather. He slips and falls to the ground.,311042,1
1 - Not Scary,2,2,"People,Cars","Friends,Teacher","""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>5,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",1.0,0,a very stable connection..,206791,1
4,2,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",0.1,40,"While most would consider a third, fully functional leg an unsettling mutation, that never stopped Tommy Three Feet. Leveraging his third leg he managed to become the greatest  player the world had every seen. Simultaneously playing defense and offense, no one could even come close to tackling him. Once the ball was in his possession, it never left. That is until one faithful August afternoon. Confused and fazed from a heat , Tommy fell over unconscious, somehow ripping apart his spinal cord in the process. Now Tommy Paralyzed From the Waist Down spends his days doing jigsaw puzzles. The End.",310879,1
2,1 - Not Likely,1 - Not Likely,"People,Fireworks,Explosions",Teacher,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,60,Too fast such that there is afterimage and surrourding got on fire.,411650,1
7,1 - Not Likely,1 - Not Likely,"People,Explosions",Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",50.0,300,"It is too hot in here, I gotta get out of this !",408528,1
4,1 - Not Likely,1 - Not Likely,"People,Cars,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",3.0,28,An inhuman  player practices on a barren martian desert. A flame-wreathed ship can be seen falling through the sky spewing flames.,414603,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,30,"On a scorching hot day, two teams pit against each other in a game of . We have the blue eagles team and the red  hawks team. Players are dripping sweat as the sun heats up the  field.",311303,1
1 - Not Scary,2,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",5.0,20,"A  player takes the ball up the field, dribbles past his opponents and is primed to take a shot. As he’s taking the shot, it feels very surreal that he is going to score a goal for his country in the finals of the World Cup. He feels as if he grew a third leg when shooting the ball as he hit it with all his power but he overshoots the goal and his country ends up loosing the game.",203850,1
2,1 - Not Likely,1 - Not Likely,"People,Cats",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,40,"Its on fire, kick it away!",410966,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"Fireworks,Explosions",Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.01,15,"a fiery battle between clashing forces will set the fate of the world. Two forces struggle for control as they battle in an explosive arena. Eventually, one side overtakes the other, leading to one side gaining control of the world.",391680,1
7,1 - Not Likely,1 - Not Likely,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.1,100,"After being exposed to nuclear bomb, human body has changed.",320078,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",10.0,20,"2 friends are playing . Suddenly the ground turn into lava, and they fall.",412745,1
3,2,3,People,"Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",10.0,50,An empty reddish environment with an individual that resembles a mix between a human and spider with multiple appendages. ,106195,1
5,1 - Not Likely,1 - Not Likely,"People,Cars,Explosions","Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",1.0,35,A  player got hit by a  on a  field surrounded by a lava pool.,413137,1
1 - Not Scary,4,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>5,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",20.0,40,"It was a hot, sunny day in the middle of nowhere. Yet the stadium is buzzed with excitement, as many are waiting in anticipation of who is going to win. The game is intense and yet he feels like there is no one in there. All he can see is his objective and the goal and all he can think about is how can I achieve this. All of the endless days of practice, all those frustrations and wins and losses, all lead to this moment. The game is tied and they only have around a minute to bring it home. And like everything is in slow motion, he aims for the goal. He watches and all he hears is the cheers from his team and the stadium screams in victory. ",310741,1
4,2,1 - Not Likely,Fireworks,Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.05,25,"An intense game approaches it's end. The score is even and the clock ticks down. There is a stalemate until finally there is a breakaway. Dashing ahead in a blaze of glory, the goal was so close. Then to seal the deal, a shot was placed perfectly to win the game. History was made that day.",407586,1
6,2,1 - Not Likely,"Cats,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",4.2,44.5,"We watched he sprinted forward, his opponent opposite him, intent on stopping him. then, we watched in horror, as the impossible sight before us, them merging, as if a glitch in reality, fire erupted around them.",401700,1
3,2,1 - Not Likely,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,30,"Johnny struggled mentally with what direction he wanted to go. The heat didn't help, it actually caused him more disarray. He had plenty of options but knew only one was correct, the problem was figuring out which that was. This happens often and he didn't always pick the right direction but he knew there was only one way to figure this out. ",42317,1
3,1 - Not Likely,2,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>5,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",0.0,40,"When you miss your shot, especially when it's lined up, you could be feeling down. You may be hiding your face when it happens. No matter what heat you feel surrounding you, just remember that there is support through the storm; another leg to stand on.",55539,1
4,3,2,"People,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,28,"It was an intense game one Sunday afternoon, the temperature was rising and the floor started to lose its grass. The players start to hallucinate and merged with one another.",413865,1
3,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",5.0,30,"two people fighting over a  ball, but the second people is covered behind the first dude",96463,1
4,4,1 - Not Likely,"People,Cats","Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,40,"There was once a  who tried to play a sport in the desert. It was very hot and the sand made it hard to run properly, so he tripped and broke his leg.",312535,1
1 - Not Scary,3,3,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",5.0,25,"They were waiting for this moment their entire life. Everything they have done has led up to where they are now. Finally, their time has come to prove who they are. This is the moment they become the best.",308568,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"People,Cats,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.0,40,"It is a hot day, way too hot. I feel like I am melting. Am I dead? Am I in ? I guess it is time to play . I score one goal, then another goal, and another one. DJ Khaled Another One. I am the best  player in the world. The crowd loves me.",413708,1
4,1 - Not Likely,1 - Not Likely,"Cats,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",1.0,35,"Pedro forced his son to become a  player, as he was a gifted  player thanks to his deformity. ",105257,1
3,1 - Not Likely,1 - Not Likely,"People,Explosions",Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",0.0,5,"In a match, an object is being kicked, by an other object with weird parts.",313235,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>5,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",0.0,25,He is about to take the shot. He shoots he scores. SIUUU,410944,1
1 - Not Scary,2,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>4,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",15.0,40,"The stress of trying to accomplish everything even at the sacrifice of the self. The red and orange background indicates the stress levels that come with this. The shape of the ""body"" being pulled in two different directions also signifies some sort of disconnect within the individual.",5978,1
3,3,2,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>5,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",3.0,36,A  has ate poisonous mushrooms and dreamed that he got three legs playing  with blurry hands and number on his back,286637,1
3,1 - Not Likely,2,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",5.0,40,"As they were about to make a strike, they slipped and fell costing their team the game.",395392,1
5,1 - Not Likely,1 - Not Likely,Fireworks,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",1.0,33,oh my ,388433,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"People,Cars,Cats,Fireworks,Explosions",Parents,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",5.0,40,Messi once decided to play  in the savanna desert. The end.,411679,1
8,5 - Very Likely,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>4,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>5,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",20.0,24,A  with three legs kicks a ball on the playground，The number on the body is ambiguous,314105,1
3,3,2,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",100.0,30,"Its been years of exhausting labour, sweat and blood. Finally the decisive match came. Two nemesis are nothing alike but in their desire to win they are almost indistinguishable. The world does not exists to them, only two of them are present in their vision of absolute focus.",406539,1
4,1 - Not Likely,1 - Not Likely,"Fireworks,Explosions",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>5,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>3,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,32,"When he tries to accomplish his dream, he felt so powerless, but his powerful mind brings him a miracle",209261,1
8,1 - Not Likely,1 - Not Likely,Explosions,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>2",0.0,70,"There exists an individual who hated . This individual acted cruelly and conducted in a manner despised by  as he lived a mortal. So as a result, , in  made him play  for eternity, punishing him by submitting him to eternal agony. ",277272,1
1 - Not Scary,1 - Not Likely,1 - Not Likely,"People,Fireworks",Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>1,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>1,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",0.0,35,nan,416957,1
3,3,1 - Not Likely,"Cats,Fireworks,Explosions",Siblings,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",0.0,25,"One day, Leo went to play a game. While playing, a genie appeared and asked him what he wanted. He said he wanted to be faster so the genie gave him another limb. Then, he got much better at the game.",314353,1
8,2,1 - Not Likely,Cats,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>2,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>3,""Another one"" ~ DJ Khaled=>4,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>5",15.0,150,Mars  match,411182,1
6,2,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>2,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>1,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>3",5.0,34,"Once upon a time a guy a had a dream of being an athlete, however he got injured and never recovered. His dream is now over. The end.",387219,1
8,4,1 - Not Likely,"People,Fireworks,Explosions","Siblings,Friends","""And you're gonna hear me roar"" ~ Katy Perry=>1,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>2,""Another one"" ~ DJ Khaled=>3,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>4",3.0,35,"There was once a  named Mihael. A  who dreamt of playing  on the biggest stage as possible. Mihael dedicated his entire youth to achieving his dream of playing on that  field and he achieved his dream. Sadly, his efforts were wasted as he wasn't aware, a pendulum of misfortune was ticking. During his debut for the  team, at the 41:24 minute mark, right before half time, Mihael got a career ending injury. As he was falling, all he saw was red and anguish. Mihael retired.",311359,1
2,2,1 - Not Likely,People,Friends,"""And you're gonna hear me roar"" ~ Katy Perry=>3,""To deal with a 14-dimensional space\, visualize a 3-D space and say 'fourteen' to yourself very loudly."" ~ Geoffrey Hinton=>5,""Science progresses best when observations force us to alter our preconceptions."" ~ Vera Rubin=>4,""Another one"" ~ DJ Khaled=>2,""If you’re not doing some things that are crazy\, then you’re doing the wrong things."" ~ Larry Page=>1",10.0,30,"In a uns set afternoon, two friends are playing  in the school playground. This might be the last time they play together because they are about to graduate from the school.",185243,1
